url,status_code,cache_control,title,title_length,title_count,description,description_length,description_count,canonical,canonical_self,h1,h1_count,wordcount,internal_links,external_links,amp_html,amp_valid,redirect_location,referrer
https://friends.aok.de/,200,"max-age=68, public, s-maxage=68, stale-if-error=3600, stale-while-revalidate=3600",A Few Good Friends  – das Portal für Young Professionals,56,1,"Von Freund zu Freund: Auf A Few Good Friends erhältst du Tipps und Inspiration rund um deine Work-Life-Balance, Gesundheit, Reisen und...",137,1,https://friends.aok.de/,True,,0,,43,2,,,,http://www.friends.aok.de
https://friends.aok.de/karriere,200,"max-age=66, public, s-maxage=66, stale-if-error=3600, stale-while-revalidate=3600",Karriere mit A Few Good Friends,31,1,"Wir pushen deine Karriere: mit Tipps zu Bewerbungen und Gehaltsverhandlungen, Zeitmanagement und Motivation sowie Hilfe bei Problemen im...",139,1,https://friends.aok.de/karriere,True,,0,,39,2,,,,https://friends.aok.de
https://friends.aok.de/lifestyle,200,"max-age=67, public, s-maxage=67, stale-if-error=3600, stale-while-revalidate=3600",Lifestyle mit A Few Good Friends,32,1,"In Sachen Lifestyle up to date: Beziehung & Dating, Wellness & Fitness, Einrichten & DIY - wir kennen die...",108,1,https://friends.aok.de/lifestyle,True,,0,,39,2,,,,https://friends.aok.de
https://friends.aok.de/unterwegs,200,"max-age=43, public, s-maxage=43, stale-if-error=3600, stale-while-revalidate=3600",Unterwegs mit A Few Good Friends,32,1,"Wir kennen die angesagtesten Spots und Locations in ganz Deutschland. Tipps zu Reisen, Ausgehen und Outdoor-Aktivitäten findest du hier....",139,1,https://friends.aok.de/unterwegs,True,,0,,39,2,,,,https://friends.aok.de
https://friends.aok.de/gesundheit,200,"max-age=48, public, s-maxage=48, stale-if-error=3600, stale-while-revalidate=3600",Gesund mit A Few Good Friends,29,1,"Hier findest du Hilfe in Sachen Gesundheit und Ernährung. Auch zu Stress, Depressionen, Rückenschmerzen oder Schlafstörungen haben wir hilfreiche...",148,1,https://friends.aok.de/gesundheit,True,,0,,39,2,,,,https://friends.aok.de
https://friends.aok.de/thema/karriere-machen-26,200,"max-age=56, public, s-maxage=56, stale-if-error=3600, stale-while-revalidate=3600",Alles rund um Karriere machen – A Few Good Friends,50,1,Hier findest du Infos und Tipps zum Thema Karriere machen – A Few Good Friends,78,1,https://friends.aok.de/thema/karriere-machen-26,True,,0,,34,2,,,,https://friends.aok.de
https://friends.aok.de/thema/probleme-im-buero-27,200,"max-age=73, public, s-maxage=73, stale-if-error=3600, stale-while-revalidate=3600",Alles rund um Probleme im Büro – A Few Good Friends,51,1,Hier findest du Infos und Tipps zum Thema Probleme im Büro – A Few Good Friends,79,1,https://friends.aok.de/thema/probleme-im-buero-27,True,,0,,34,2,,,,https://friends.aok.de
https://friends.aok.de/thema/digitales-leben-28,200,"max-age=44, public, s-maxage=44, stale-if-error=3600, stale-while-revalidate=3600",Alles rund um Digitales Leben – A Few Good Friends,50,1,Hier findest du Infos und Tipps zum Thema Digitales Leben – A Few Good Friends,78,1,https://friends.aok.de/thema/digitales-leben-28,True,,0,,33,2,,,,https://friends.aok.de
https://friends.aok.de/thema/fitness-16,200,"max-age=81, public, s-maxage=81, stale-if-error=3600, stale-while-revalidate=3600",Alles rund um Fitness – A Few Good Friends,42,1,Hier findest du Infos und Tipps zum Thema Fitness – A Few Good Friends,70,1,https://friends.aok.de/thema/fitness-16,True,,0,,34,2,,,,https://friends.aok.de
https://friends.aok.de/thema/beziehung-30,200,"max-age=88, public, s-maxage=88, stale-if-error=3600, stale-while-revalidate=3600",Alles rund um Beziehung – A Few Good Friends,44,1,Hier findest du Infos und Tipps zum Thema Beziehung – A Few Good Friends,72,1,https://friends.aok.de/thema/beziehung-30,True,,0,,33,2,,,,https://friends.aok.de
